customerid,category,country,industry,month,billedamount
1,Individual,Indonesia,Engineering,2009-1,5060
614,Individual,United States,Product Management,2009-1,9638
615,Individual,China,Services,2009-1,11573
616,Individual,Russia,Accounting,2009-1,18697
617,Individual,Chile,Business Development,2009-1,944
618,Individual,Nicaragua,Human Resources,2009-1,3539
41,Company,Brazil,Marketing,2009-1,6591
619,Individual,Russia,Business Development,2009-1,16061
620,Individual,China,Business Development,2009-1,1250
956,Individual,Peru,Research and Development,2009-1,15105
621,Individual,Angola,Services,2009-1,6644
622,Individual,Poland,Legal,2009-1,2409
623,Individual,Italy,Training,2009-1,5792
624,Individual,Indonesia,Sales,2009-1,11626
625,Individual,Portugal,Services,2009-1,11776
626,Individual,Mexico,Engineering,2009-1,14722
40,Individual,Portugal,Human Resources,2009-1,14962
627,Company,Philippines,Services,2009-1,6185
628,Individual,France,Business Development,2009-1,13559
629,Company,France,Training,2009-1,14731
630,Individual,Indonesia,Services,2009-1,701
631,Company,Poland,Marketing,2009-1,1943
632,Company,Brunei,Training,2009-1,5974
633,Individual,Russia,Sales,2009-1,1777
634,Company,Mexico,Business Development,2009-1,19186
39,Company,Ivory Coast,Engineering,2009-1,356
613,Individual,Czech Republic,Sales,2009-1,11524
955,Individual,Sudan,Accounting,2009-1,5795
612,Individual,Argentina,Product Management,2009-1,19204
611,Individual,Uzbekistan,Engineering,2009-1,14217
591,Individual,China,Support,2009-1,8620
592,Company,Philippines,Training,2009-1,2099
593,Company,China,Services,2009-1,9656
958,Company,Indonesia,Sales,2009-1,7186
594,Individual,Germany,Engineering,2009-1,2315
595,Company,Portugal,Legal,2009-1,12379
44,Individual,Paraguay,Human Resources,2009-1,8737
596,Company,Philippines,Human Resources,2009-1,10105
597,Individual,South Africa,Accounting,2009-1,10988
598,Company,United Kingdom,Training,2009-1,7295
599,Individual,Cyprus,Engineering,2009-1,12908
600,Individual,Sweden,Sales,2009-1,18400
601,Individual,Nigeria,Training,2009-1,17780
602,Individual,China,Human Resources,2009-1,1136
603,Individual,Iran,Engineering,2009-1,4165
43,Individual,Portugal,Marketing,2009-1,8836
604,Individual,Sweden,Human Resources,2009-1,17591
998,Individual,China,Engineering,2009-1,995
605,Individual,Philippines,Engineering,2009-1,15889
606,Individual,Poland,Marketing,2009-1,16430
607,Individual,Philippines,Support,2009-1,10013
957,Company,Philippines,Legal,2009-1,5429
608,Company,Dominican Republic,Support,2009-1,1013
609,Individual,Indonesia,Training,2009-1,5182
610,Company,China,Legal,2009-1,13358
